stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,50.0,44.0,17.0,42.0,80.0,30.0,80.0,o3,sedang
0,62.0,44.0,21.0,36.0,59.0,24.0,62.0,pm10,sedang
0,53.0,44.0,16.0,44.0,62.0,21.0,62.0,o3,sedang
0,41.0,44.0,19.0,23.0,55.0,14.0,55.0,o3,sedang
0,46.0,44.0,21.0,28.0,111.0,24.0,111.0,o3,tidak sehat
0,59.0,44.0,25.0,31.0,95.0,26.0,95.0,o3,sedang
0,52.0,44.0,17.0,28.0,56.0,19.0,56.0,o3,sedang
0,51.0,44.0,21.0,32.0,60.0,24.0,60.0,o3,sedang
0,49.0,44.0,15.0,46.0,43.0,23.0,49.0,pm10,baik
0,48.0,44.0,18.0,31.0,40.0,17.0,48.0,pm10,baik
0,48.0,44.0,17.0,25.0,46.0,15.0,48.0,pm10,baik
0,54.0,44.0,16.0,38.0,64.0,18.0,64.0,o3,sedang
0,47.0,44.0,17.0,31.0,69.0,22.0,69.0,o3,sedang
0,47.0,44.0,15.0,35.0,70.0,20.0,70.0,o3,sedang
0,41.0,44.0,17.0,33.0,90.0,21.0,90.0,o3,sedang
0,48.0,44.0,17.0,31.0,75.0,23.0,75.0,o3,sedang
0,56.0,44.0,15.0,59.0,66.0,23.0,66.0,o3,sedang
0,52.0,44.0,15.0,35.0,37.0,17.0,52.0,pm10,sedang
0,43.0,44.0,18.0,38.0,58.0,23.0,58.0,o3,sedang
0,37.0,44.0,15.0,48.0,32.0,18.0,48.0,co,baik
0,43.0,44.0,17.0,34.0,70.0,21.0,70.0,o3,sedang
0,40.0,44.0,16.0,32.0,69.0,22.0,69.0,o3,sedang
0,49.0,44.0,18.0,32.0,57.0,21.0,57.0,o3,sedang
0,57.0,44.0,19.0,37.0,55.0,19.0,57.0,pm10,sedang
0,39.0,44.0,12.0,30.0,36.0,14.0,44.0,pm25,baik
0,33.0,44.0,14.0,18.0,25.0,8.0,44.0,pm25,baik
0,56.0,44.0,18.0,32.0,48.0,18.0,56.0,pm10,sedang
0,54.0,44.0,17.0,47.0,45.0,12.0,54.0,pm10,sedang
1,31.0,94.0,13.0,27.0,54.0,11.0,94.0,pm25,sedang
0,49.0,44.0,14.0,30.0,36.0,16.0,49.0,pm10,baik
2,69.0,70.0,13.0,23.0,80.0,14.0,80.0,o3,sedang
2,32.0,70.0,13.0,19.0,56.0,8.0,70.0,pm25,sedang
1,50.0,94.0,15.0,28.0,78.0,14.0,94.0,pm25,sedang
2,56.0,70.0,20.0,39.0,215.0,26.0,215.0,o3,tidak sehat
2,56.0,70.0,20.0,30.0,126.0,20.0,126.0,o3,tidak sehat
2,44.0,70.0,18.0,23.0,81.0,9.0,81.0,o3,sedang
1,43.0,94.0,16.0,28.0,123.0,18.0,123.0,o3,tidak sehat
2,54.0,70.0,15.0,40.0,67.0,23.0,70.0,pm25,sedang
2,51.0,70.0,19.0,30.0,130.0,17.0,130.0,o3,tidak sehat
2,64.0,70.0,19.0,34.0,137.0,24.0,137.0,o3,tidak sehat
2,61.0,70.0,17.0,55.0,136.0,17.0,136.0,o3,tidak sehat
2,61.0,70.0,16.0,36.0,206.0,38.0,206.0,o3,tidak sehat
3,68.0,102.0,20.0,49.0,148.0,28.0,148.0,o3,tidak sehat
2,67.0,70.0,19.0,35.0,195.0,24.0,195.0,o3,tidak sehat
2,68.0,70.0,18.0,36.0,154.0,22.0,154.0,o3,tidak sehat
2,57.0,70.0,19.0,38.0,238.0,30.0,238.0,o3,tidak sehat
2,69.0,70.0,18.0,39.0,112.0,24.0,112.0,o3,tidak sehat
2,72.0,70.0,26.0,39.0,146.0,23.0,146.0,o3,tidak sehat
2,52.0,70.0,17.0,28.0,190.0,19.0,190.0,o3,tidak sehat
2,70.0,70.0,21.0,35.0,172.0,26.0,172.0,o3,tidak sehat
2,62.0,70.0,17.0,49.0,189.0,23.0,189.0,o3,tidak sehat
1,60.0,94.0,17.0,43.0,92.0,23.0,94.0,pm25,sedang
0,67.0,44.0,19.0,37.0,93.0,26.0,93.0,o3,sedang
3,66.0,102.0,16.0,32.0,74.0,19.0,102.0,pm25,tidak sehat
2,58.0,70.0,17.0,26.0,80.0,12.0,80.0,o3,sedang
2,63.0,70.0,21.0,30.0,80.0,14.0,80.0,o3,sedang
2,68.0,70.0,31.0,34.0,82.0,14.0,82.0,o3,sedang
3,74.0,102.0,24.0,32.0,46.0,18.0,102.0,pm25,tidak sehat
3,60.0,102.0,15.0,38.0,30.0,8.0,102.0,pm25,tidak sehat
3,55.0,102.0,14.0,24.0,34.0,13.0,102.0,pm25,tidak sehat
3,54.0,102.0,14.0,23.0,30.0,7.0,102.0,pm25,tidak sehat
3,61.0,102.0,14.0,19.0,32.0,9.0,102.0,pm25,tidak sehat
2,56.0,70.0,14.0,23.0,58.0,14.0,70.0,pm25,sedang
3,63.0,102.0,16.0,23.0,50.0,9.0,102.0,pm25,tidak sehat
3,54.0,102.0,13.0,20.0,38.0,12.0,102.0,pm25,tidak sehat
3,56.0,102.0,13.0,21.0,43.0,15.0,102.0,pm25,tidak sehat
2,67.0,70.0,16.0,22.0,83.0,15.0,83.0,o3,sedang
3,82.0,102.0,20.0,32.0,56.0,17.0,102.0,pm25,tidak sehat
2,58.0,70.0,19.0,34.0,119.0,19.0,119.0,o3,tidak sehat
2,41.0,70.0,19.0,27.0,44.0,15.0,70.0,pm25,sedang
0,38.0,44.0,20.0,20.0,36.0,9.0,44.0,pm25,baik
2,34.0,70.0,15.0,27.0,33.0,11.0,70.0,pm25,sedang
2,49.0,70.0,13.0,19.0,32.0,10.0,70.0,pm25,sedang
2,51.0,70.0,17.0,26.0,33.0,11.0,70.0,pm25,sedang
2,40.0,70.0,16.0,27.0,32.0,12.0,70.0,pm25,sedang
3,55.0,102.0,14.0,34.0,33.0,13.0,102.0,pm25,tidak sehat
3,59.0,102.0,20.0,41.0,38.0,13.0,102.0,pm25,tidak sehat
2,62.0,70.0,19.0,32.0,241.0,23.0,241.0,o3,tidak sehat
2,65.0,70.0,28.0,27.0,80.0,15.0,80.0,o3,sedang
2,65.0,70.0,18.0,23.0,52.0,12.0,70.0,pm25,sedang
2,38.0,70.0,19.0,22.0,54.0,14.0,70.0,pm25,sedang
3,45.0,102.0,15.0,23.0,57.0,17.0,102.0,pm25,tidak sehat
2,42.0,70.0,16.0,25.0,40.0,14.0,70.0,pm25,sedang
2,38.0,70.0,18.0,24.0,40.0,15.0,70.0,pm25,sedang
1,33.0,94.0,19.0,21.0,34.0,15.0,94.0,pm25,sedang
2,52.0,70.0,17.0,51.0,76.0,7.0,76.0,o3,sedang
0,35.0,44.0,15.0,15.0,47.0,11.0,47.0,o3,baik
0,41.0,44.0,16.0,35.0,31.0,15.0,44.0,pm25,baik
2,53.0,70.0,17.0,19.0,77.0,11.0,77.0,o3,sedang
